index1.1,index1.2,val1,index2.1,index2.2,val2,Class
0.1,0.48,0.277585,0.1,0.48,0.007113,0
0.1,0.9,0.287249,0.1,0.9,0.015263,0
0.1,1.2,0.244978,0.1,1.2,0.018692,0
0.1,1.8,0.011983,0.1,1.8,0.022137,0
0.5,0.06,1.58383,0.5,0.06,0.00238,0
0.5,0.24,1.58134,0.5,0.24,0.005179,0
0.5,0.48,1.53432,0.5,0.48,0.007473,0
0.5,0.9,1.52558,0.5,0.9,0.015106,0
0.5,1.2,1.47083,0.5,1.2,0.019158,0
0.5,1.8,1.24723,0.5,1.8,0.022357,0
1.2,0.06,3.74896,1.2,0.06,0.002304,0
1.2,0.24,3.78881,1.2,0.24,0.004973,0
1.2,0.48,3.71652,1.2,0.48,0.007244,0
4.00318,1.2,0.02362,4.00325,1.2,0.01682,1
1.2,1.2,3.64991,1.2,1.2,0.018978,0
1.2,1.8,3.44354,1.2,1.8,0.022263,0
3.0,0.06,9.2684,3.0,0.06,0.001699,0
2.924765929252509,-0.0915822950630914,9.489100250533541,3.0662988360130505,-0.5616084233070481,-0.902766914740703,1
3.0,0.48,9.2688,3.0,0.48,0.006947,0
3.0,0.9,9.30979,3.0,0.9,0.014579,0
3.0,1.2,9.19071,3.0,1.2,0.018561,0
3.0,1.8,8.94935,3.0,1.8,0.024184,0
4.0,0.06,12.6026,4.0,0.06,0.001668,0
4.0,0.24,12.5105,4.0,0.24,0.004395,0
4.0,0.48,12.3375,4.0,0.48,0.006627,0
4.0,0.9,12.465,4.0,0.9,0.01426,0
4.0,1.2,12.3249,4.0,1.2,0.018345,0
4.0,1.8,12.0975,4.0,1.8,0.023999,0
5.0,0.06,15.5352,5.0,0.06,0.001433,0
5.0,0.24,15.5624,5.0,0.24,0.004259,0
5.0,0.48,15.5634,5.0,0.48,0.006435,0
5.0,0.9,15.454,5.0,0.9,0.014148,0
5.0,1.2,15.4465,5.0,1.2,0.018129,0
5.0,1.8,15.2377,5.0,1.8,0.023883,0
0.1,0.06,0.335241,0.1,0.06,0.004151,0
0.1,0.24,0.33337,0.1,0.24,0.006898,0
0.1,0.48,0.277585,0.1,0.48,0.00573,0
0.1,0.9,0.287249,0.1,0.9,0.010529,0
0.1,1.2,0.244978,0.1,1.2,0.006763,0
0.1,1.8,0.011983,0.1,1.8,0.029802,0
1.2,0.06,1.8971,1.2,0.06,1.63865,1
0.5,0.24,1.58134,0.5,0.24,0.006806,0
0.5,0.48,1.53432,0.5,0.48,0.005608,0
0.5,0.9,1.52558,0.5,0.9,0.010522,0
0.5,1.2,1.47083,0.5,1.2,0.007393,0
0.5,1.8,1.24723,0.5,1.8,0.030251,0
1.2,0.06,3.74896,1.2,0.06,0.004088,0
1.2,0.24,3.78881,1.2,0.24,0.007025,0
1.2,0.48,3.71652,1.2,0.48,0.00604,0
1.2,0.9,3.6962,1.2,0.9,0.010544,0
1.2,1.2,3.64991,1.2,1.2,0.007519,0
1.2,1.8,3.44354,1.2,1.8,0.030247,0
3.0,0.06,9.2684,3.0,0.06,0.004261,0
3.0,0.24,9.38517,3.0,0.24,0.007116,0
3.0,0.48,9.2688,3.0,0.48,0.006347,0
3.0,0.9,9.30979,3.0,0.9,0.010806,0
3.0,1.2,9.19071,3.0,1.2,0.007686,0
3.0,1.8,8.94935,3.0,1.8,0.028679,0
4.0,0.06,12.6026,4.0,0.06,0.004236,0
3.0,0.48,9.2688,3.0,0.48,14.0868,1
4.0,0.48,12.3375,4.0,0.48,0.005779,0
4.0,0.9,12.465,4.0,0.9,0.011116,0
4.0,1.2,12.3249,4.0,1.2,0.007572,0
4.0,1.8,12.0975,4.0,1.8,0.028719,0
5.0,0.06,15.5352,5.0,0.06,0.004886,0
5.0,0.24,15.5624,5.0,0.24,0.007184,0
5.0,0.48,15.5634,5.0,0.48,0.006112,0
5.0,0.9,15.454,5.0,0.9,0.011367,0
5.0,1.2,15.4465,5.0,1.2,0.007615,0
5.0,1.8,15.2377,5.0,1.8,0.02899,0
0.1,0.06,0.475221,0.1,0.06,0.243067,0
0.1,0.24,0.469329,0.1,0.24,0.266772,0
0.1,0.48,0.479347,0.1,0.48,0.250856,0
0.1,0.9,0.483369,0.1,0.9,0.265419,0
0.1,1.2,0.525612,0.1,1.2,0.269267,0
0.1,1.8,0.718181,0.1,1.8,0.431288,0
0.5,0.06,2.36477,0.5,0.06,1.07437,0
0.5,0.24,2.3708,0.5,0.24,1.07853,0
0.5,0.48,2.38155,0.5,0.48,1.05575,0
0.5,0.9,2.34519,0.5,0.9,1.07894,0
0.5,1.2,2.3437,0.5,1.2,1.093,0
0.5,1.8,2.36987,0.5,1.8,1.27717,0
1.2,0.06,5.6772,1.2,0.06,2.49213,0
1.2,0.24,5.68693,1.2,0.24,2.53051,0
1.2,0.48,5.65479,1.2,0.48,2.49108,0
1.2,0.9,5.69527,1.2,0.9,2.51249,0
1.2910853138560507,1.6459388172851372,5.058512961355732,0.8600470516265842,1.2924812936710433,3.7054618305151763,1
1.2,1.8,5.62242,1.2,1.8,2.6939,0
3.0,0.06,14.1025,3.0,0.06,6.1865,0
3.0,0.24,14.1307,3.0,0.24,6.16064,0
3.0,0.48,14.0868,3.0,0.48,6.15715,0
3.0,0.9,14.2896,3.0,0.9,6.19435,0
3.0,1.2,14.1135,3.0,1.2,6.17992,0
3.0,1.8,14.0464,3.0,1.8,6.34771,0
4.0,0.06,18.6951,4.0,0.06,8.19699,0
4.0,0.24,18.6883,4.0,0.24,8.23735,0
4.0,0.48,18.9963,4.0,0.48,8.17149,0
4.0,0.9,18.736,4.0,0.9,8.20701,0
4.0,1.2,18.7061,4.0,1.2,8.24945,0
4.0,1.8,18.791,4.0,1.8,8.41948,0
5.0,0.06,23.6645,5.0,0.06,10.2503,0
5.0,0.24,23.4187,5.0,0.24,10.2124,0
5.0,0.48,23.2727,5.0,0.48,10.2301,0
5.0,0.9,23.4945,5.0,0.9,10.2659,0
5.0,1.2,23.6717,5.0,1.2,10.2565,0
5.0,1.8,23.6913,5.0,1.8,10.4075,0
0.1,0.06,0.475221,0.1,0.06,0.287339,0
0.1,0.24,0.469329,0.1,0.24,0.281311,0
0.1,0.48,0.479347,0.1,0.48,0.33408,0
0.1,0.9,0.483369,0.1,0.9,0.415525,0
0.1,1.2,0.525612,0.1,1.2,0.600559,0
0.1,1.8,0.718181,0.1,1.8,0.491638,0
0.5,0.06,2.36477,0.5,0.06,1.43788,0
0.5,0.24,2.3708,0.5,0.24,1.40889,0
0.5,0.48,2.38155,0.5,0.48,1.41073,0
