index1.1,index1.2,val1,index2.1,index2.2,val2,index3.1,index3.2,val3
0.4048674424572342,0.9299261675851431,0.21777368587077073,0.5197452689593077,1.4656340605873943,0.2264490092366981,0.33013762561924526,1.0866935981373649,-0.9995715166270023
0.4891304347826087,-0.7837013698818035,-0.1145483590710368,0.4891304347826087,-0.7550844031151902,0.00820018805633843,0.4891304347826087,-0.8022976567878521,0.18978748926541347
4.103762580061778,4.902871769955951,4.972982949401837,3.747129884712889,9.265192203714019,8.85114729242547,4.999655406436846,7.279345810543872,147.7956968700217
-0.3043478260869565,-0.6587013698818036,-0.300936469833941,-0.3043478260869565,-0.6300844031151903,-0.16702381842633376,-0.3043478260869565,-0.677297656787852,0.4481570589277681
-0.302641902173913,-0.7837013698818035,-0.30750324212563757,-0.30269179347826086,-0.7550844031151902,-0.1895752550222934,-0.302641902173913,-0.8022976567878521,-0.040426793527896285
-0.2989130434782608,1.0287986301181966,-0.269040789904862,-0.2989130434782608,1.0574155968848098,-0.15255512661928888,-0.2989130434782608,1.010202343212148,0.015471435776502507
0.7608695652173912,-0.3462013698818036,0.027980637416971068,0.7608695652173912,-0.31758440311519026,0.4772033791296693,0.7608695652173912,-0.36479765678785203,-0.03930562560488542
0.761733695652174,0.4037986301181964,0.7760695099726443,0.761733695652174,0.43241559688480974,2.132644692434716,0.7617527173913043,0.38520234321214797,32.45181704175243
1.0326086956521738,-0.3462013698818036,1.6157477936204574,1.0326086956521738,-0.31758440311519026,1.0864556529073337,1.0326086956521738,-0.36479765678785203,-0.036051171603440506
-0.2989130434782608,0.4037986301181964,-0.28854182419724933,-0.2989130434782608,0.43241559688480974,-0.14860557573558347,-0.2989130434782608,0.38520234321214797,-0.03545139788170826
0.7608695652173912,-0.5962013698818036,1.2550371813369747,0.7608695652173912,-0.5675844031151902,0.6626301162296052,0.7608695652173912,-0.614797656787852,33.573666525810715
-0.32065217391304346,-0.7837013698818035,-0.3105567762888526,-0.32065217391304346,-0.7550844031151902,-0.19004576364481135,-0.32065217391304346,-0.8022976567878521,-0.043763034855031954
