index1.1,index1.2,val1,index2.1,index2.2,val2
0.0,-0.4375,0.18146446685710957,0.0,-0.4375,2.394401296867302
0.0,-0.25,0.16593482189704428,0.0,-0.25,-0.018826289033295966
0.0,0.43750000000000006,-0.05715035270798113,0.0,0.43750000000000006,2.71414389732984e-05
-0.28947368421052627,0.0,-0.22152777939719,-0.28947368421052627,0.0,0.2491830838102961
1.0,0.75,1.6452772109835014,1.0,0.75,7.299064936303977
-0.30526315789473685,-0.4375,-0.2710934530402845,-0.30526315789473685,-0.4375,0.007285420194711036
-0.29473684210526313,-0.3125,-0.2539672360520026,-0.29473684210526313,-0.3125,0.08517065796605347
-0.2931331052631579,0.125,-0.25919454322858976,-0.2930847894736842,0.125,0.2113051495534411
-0.28947368421052627,-0.4375,-0.2539514953652423,-0.28947368421052627,-0.4375,-0.02313190821587807
0.7368421052631579,0.43750000000000006,1.1736629161079695,0.7368421052631579,0.43750000000000006,15.286379192221426
0.4736842105263158,0.43750000000000006,0.09739987174255234,0.4736842105263158,0.43750000000000006,3.372200422254993
1.0008552631578949,-0.4375,1.1115629918964613,1.0008552631578949,-0.4375,-0.021827474209464466
-0.18421052631578946,1.3750000000000002,-0.13958491226024605,-0.18421052631578946,1.3750000000000002,0.028770747779542426
1.0,-0.4375,0.7339112691657437,1.0,-0.4375,-0.01737956808923447
0.7368421052631579,1.3750000000000002,0.6880977088555938,0.7368421052631579,1.3750000000000002,-0.005546723164724683
0.4736842105263158,-0.4375,0.8184947239549935,0.4736842105263158,-0.4375,4.242478325916044
0.4736842105263158,0.0,0.2636844866787151,0.4736842105263158,0.0,-0.0026697306335552065
1.0008552631578949,1.3750000000000002,1.1141398006179677,1.0008552631578949,1.3750000000000002,-0.011387889818917252
0.94802015103032,0.598461893241685,2.5236864598344995,1.1860223221435868,0.42230588581949974,0.0473674164268048
-0.28947368421052627,-0.4375,-0.2764940243689151,-0.28947368421052627,-0.4375,-0.02250930005518759
-0.10526315789473682,-0.4375,-0.22181939019413516,-0.10526315789473682,-0.4375,-0.01340293604572263
-0.18421052631578946,-0.25,0.004113566140033785,-0.18421052631578946,-0.25,0.983301435288641
0.0,0.0,-0.2764100740395266,0.0,0.0,-0.02005670093341876
1.0,0.0,1.6727942633941586,1.0,0.0,-0.01835665989227316
-0.18421052631578946,0.43750000000000006,-0.13587011018480735,-0.18421052631578946,0.43750000000000006,-0.018179006837175216
-0.28947368421052627,-0.4375,-0.27686573777181833,-0.28947368421052627,-0.4375,-0.01993908803120114
0.4736842105263158,-0.4375,0.44296041508773976,0.4736842105263158,-0.4375,6.871694193294748
-0.2736842105263158,-0.3125,-0.2622186206494491,-0.2736842105263158,-0.3125,0.04702953399794218
1.0,1.3750000000000002,0.7759424007462253,1.0,1.3750000000000002,9.744015107089425
0.0,-0.25,0.16091295983209936,0.0,-0.25,-0.015857180103186815
-0.18421052631578946,0.43750000000000006,-0.13000524689558682,-0.18421052631578946,0.43750000000000006,-0.02345431561216693
1.0,0.75,0.39771585145455607,1.0,0.75,2.0222510451510174
0.0,0.43750000000000006,0.17035387395790827,0.0,0.43750000000000006,-0.01331739938956436
-0.30526315789473685,0.125,-0.2380125925494083,-0.30526315789473685,0.125,0.2183865977219286
1.0,-0.4375,0.681773450708331,1.0,-0.4375,9.430243623201159
-0.3089225789473684,0.125,-0.27176388969859505,-0.3088742631578948,0.125,-0.009145019998305717
0.0,-0.25,0.02083017547950793,0.0,-0.25,2.7596757173770183
-0.18421052631578946,-0.4375,-0.10919722497522301,-0.18421052631578946,-0.4375,0.9920278191524798
0.7368421052631579,0.0,-0.27655209001340875,0.7368421052631579,0.0,-0.013609375475489223
-0.28947368421052627,0.0,-0.23225220078120448,-0.28947368421052627,0.0,-0.012104670548166593
-0.3105263157894737,-0.3125,-0.26735090071707573,-0.3105263157894737,-0.3125,-0.018642056235416614
-0.18421052631578946,0.43750000000000006,0.0017233137060572515,-0.18421052631578946,0.43750000000000006,-0.0004988267496152902
-0.21052631578947367,-0.4375,-0.22086725354165454,-0.21052631578947367,-0.4375,-0.018453711098298888
0.4736842105263158,-0.4375,0.7072337200489711,0.4736842105263158,-0.4375,-0.023825248611468654
-0.2631578947368421,-0.3125,-0.22094117647058825,-0.2631578947368421,-0.3125,0.21674412943012025
1.0,1.3750000000000002,2.4591989739404188,1.0,1.3750000000000002,-0.0056413069672073815
-0.29473684210526313,-0.0625,-0.2508538448084884,-0.29473684210526313,-0.0625,-0.02055347151341486
-0.18421052631578946,-0.25,-0.14090712994811405,-0.18421052631578946,-0.25,-0.008388349578444103
0.7368421052631579,-0.4375,0.05082726053751529,0.7368421052631579,-0.4375,0.018494012022834995
0.4736842105263158,-0.25,0.8152299889232205,0.4736842105263158,-0.25,-0.01571036959237671
0.4736842105263158,-0.25,0.44587419110359705,0.4736842105263158,-0.25,-0.01883821481708726
0.0,-0.4375,0.3750294409141258,0.0,-0.4375,-0.017393550042644958
0.0,1.3750000000000002,0.23727627820206376,0.0,1.3750000000000002,2.0391774334561825
-0.18337421052631578,1.3750000000000002,-0.1164262811170058,-0.18337421052631578,1.3750000000000002,-0.004646943339367504
0.4736842105263158,0.0,1.3534098991430072,0.4736842105263158,0.0,6.8571447370693654
0.7376789473684211,0.0,1.9328887075147205,0.7376973684210527,0.0,5.832941975715814
-0.29473684210526313,0.125,-0.24026514312365188,-0.29473684210526313,0.125,0.12734598672701386
0.7368421052631579,-0.25,1.8873922928933715,0.7368421052631579,-0.25,9.121160206044644
-0.21052631578947367,0.75,-0.2582712062029966,-0.21052631578947367,0.75,0.009601489653765713
-0.28947368421052627,0.43750000000000006,-0.24262169882819334,-0.28947368421052627,0.43750000000000006,0.2942781734305051
-0.28947368421052627,-0.4375,-0.2489988923220428,-0.28947368421052627,-0.4375,-0.023622099053092767
-0.18421052631578946,0.0,-0.08878796711945433,-0.18421052631578946,0.0,1.897375751838421
0.7368421052631579,0.75,1.9111549000174894,0.7368421052631579,0.75,-0.02427184865275654
-0.29473684210526313,-0.3125,-0.2671009152917857,-0.29473684210526313,-0.3125,-0.015731342522492437
1.0008368421052634,-0.4375,2.457065236401796,1.0008552631578949,-0.4375,-0.021827474209464466
-0.28947368421052627,0.43750000000000006,-0.25313286305602517,-0.28947368421052627,0.43750000000000006,0.053298383932926095
-0.2631578947368421,-0.3125,-0.24613012301055212,-0.2631578947368421,-0.3125,0.20556761384805566
-0.18421052631578946,-0.4375,-0.0047175421209117874,-0.18421052631578946,-0.4375,-0.016795615917384748
0.0,1.3750000000000002,0.0138378126275287,0.0,1.3750000000000002,-0.023641015813589305
0.7368421052631579,-0.25,0.4418585670145164,0.7368421052631579,-0.25,7.554136889903631
-0.18421052631578946,0.75,-0.06754736780738065,-0.18421052631578946,0.75,0.006923534341733747
0.7368421052631579,0.43750000000000006,0.2739007753745701,0.7368421052631579,0.43750000000000006,2.249984167493932
1.0,0.75,0.9467171923278727,1.0,0.75,-0.0237561613122639
0.0,0.0,0.0468197982860141,0.0,0.0,-0.020012287669644274
-0.28947368421052627,0.43750000000000006,-0.21606482830991666,-0.28947368421052627,0.43750000000000006,0.4078346642233889
0.4736842105263158,0.43750000000000006,0.6897382382090597,0.4736842105263158,0.43750000000000006,-0.021534675655691927
1.0,0.43750000000000006,1.623660001165977,1.0,0.43750000000000006,9.700013077238777
-0.28947368421052627,-0.25,-0.2499258438757069,-0.28947368421052627,-0.25,-0.02445937132202659
-0.18421052631578946,0.0,-0.004526321926193652,-0.18421052631578946,0.0,-0.01757531543698128
-0.3105263157894737,-0.3125,-0.26633102081268584,-0.3105263157894737,-0.3125,-0.019882337749711515
0.7368421052631579,0.75,0.6738074972308051,0.7368421052631579,0.75,9.200034872636742
0.836708117823699,0.6708741359442147,1.3886912133497127,0.7921758823557986,1.400056825054975,7.1836142205197255
0.0,0.43750000000000006,0.19228706348743663,0.0,0.43750000000000006,1.766685610842758
0.7368421052631579,-0.4375,1.8922077770652366,0.7368421052631579,-0.4375,-0.024253754360107675
-0.18421052631578946,0.75,-0.1429289337142191,-0.18421052631578946,0.75,0.9941251121640526
1.0008552631578949,0.75,0.7763330029732409,1.0008552631578949,0.75,9.799202699668461
0.0008368421052631476,1.3750000000000002,0.14976388969859503,0.0008368421052631476,1.3750000000000002,-0.003443672878218008
-0.2631578947368421,0.125,-0.2506437357896578,-0.2631578947368421,0.125,-0.020555116449110213
0.7368421052631579,0.43750000000000006,1.2672558736081152,0.7368421052631579,0.43750000000000006,-0.019461234211701577
0.7368421052631579,0.75,1.1741876056666474,0.7368421052631579,0.75,-0.00746471818550433
0.7368421052631579,-0.4375,0.8339042733049613,0.7368421052631579,-0.4375,-0.01761520512759355
-0.28947368421052627,1.3750000000000002,-0.26875998367632487,-0.28947368421052627,1.3750000000000002,0.09963293259958234
0.0,0.43750000000000006,-0.2758560018655629,0.0,0.43750000000000006,-0.01337085979966328
-0.29473684210526313,-0.0625,-0.26121751297149187,-0.29473684210526313,-0.0625,-0.019575557242528494
-0.3088742631578948,-0.3125,-0.2732818748906897,-0.3089225789473684,-0.3125,-0.017970100003865598
-0.28947368421052627,0.43750000000000006,-0.21606482830991666,-0.28947368421052627,0.43750000000000006,0.45431643463477905
-0.28947368421052627,-0.25,-0.22269585495248645,-0.28947368421052627,-0.25,-0.019913591527923193
0.0,1.3750000000000002,0.2340815017781146,0.0,1.3750000000000002,-0.01671912640755091
0.4736842105263158,0.43750000000000006,1.1607672127324669,0.4736842105263158,0.43750000000000006,-0.019559930353422655
1.0,0.43750000000000006,0.9380073456538215,1.0,0.43750000000000006,-0.01609734071470811
0.0,-0.4375,0.2995592607707107,0.0,-0.4375,-0.023849100179051248
0.0,1.3750000000000002,0.2340815017781146,0.0,1.3750000000000002,4.822416854669108
0.4736842105263158,0.43750000000000006,1.347498396781904,0.4736842105263158,0.43750000000000006,5.16444833380351
-0.28947368421052627,0.0,-0.21732466623914187,-0.28947368421052627,0.0,-0.02198374310052284
-0.28947368421052627,0.0,-0.2688096542878797,-0.28947368421052627,0.0,0.025312270480066255
0.7368421052631579,0.75,1.077714685477759,0.7368421052631579,0.75,-0.019346088713026982
-0.23157894736842102,-0.4375,-0.2656460094444121,-0.23157894736842102,-0.4375,-0.021866952666152895
-0.28947368421052627,0.0,-0.2220620299656037,-0.28947368421052627,0.0,-0.006228549010447808
-0.2615542105263158,-0.3125,-0.2376987115956393,-0.2615542105263158,-0.3125,-0.017294031433076198
-0.2631578947368421,0.125,-0.2463415146038594,-0.2631578947368421,0.125,-0.020555116449110213
0.4736842105263158,-0.4375,-0.27694718125109313,0.4736842105263158,-0.4375,-0.021219670470032148
-0.18421052631578946,1.3750000000000002,-0.025200256514895374,-0.18421052631578946,1.3750000000000002,1.0312924342005159
-0.18421052631578946,-0.4375,0.0023820905963971,-0.18421052631578946,-0.4375,-0.018981735456506665
0.4736842105263158,0.43750000000000006,0.7145898676616337,0.4736842105263158,0.43750000000000006,-0.012172112911676
0.4736842105263158,1.3750000000000002,0.364022619949863,0.4736842105263158,1.3750000000000002,0.022600182752355754
-0.28947368421052627,-0.4375,-0.24779875240482718,-0.28947368421052627,-0.4375,-0.01829374110192597
-0.28947368421052627,0.43750000000000006,-0.2760188888241124,-0.28947368421052627,0.43750000000000006,-0.014618543524587262
-0.29473684210526313,-0.4375,-0.2703377834781088,-0.29473684210526313,-0.4375,-0.019911124124380165
-0.18421052631578946,0.43750000000000006,0.0032227598670786324,-0.18421052631578946,0.43750000000000006,0.917429985368297
-0.18421052631578946,1.3750000000000002,-0.21939369206552792,-0.18421052631578946,1.3750000000000002,0.1113522769611129
-0.28947368421052627,1.3750000000000002,-0.23475403719465981,-0.28947368421052627,1.3750000000000002,-0.011402694240175414
-0.18421052631578946,0.75,-0.08867836530053054,-0.18421052631578946,0.75,-0.013595393522078737
0.7368421052631579,0.0,0.5357873258322159,0.7368421052631579,0.0,7.78168084464158
-0.18421052631578946,-0.4375,-0.2077468664373579,-0.18421052631578946,-0.4375,0.2720534472506133
-0.18421052631578946,0.0,-0.22195324433043787,-0.18421052631578946,0.0,0.30438877068198206
0.4736842105263158,0.0,-0.27512435142540664,0.4736842105263158,0.0,-0.009447688166250358
0.7368421052631579,0.75,1.204607940301988,0.7368421052631579,0.75,-0.022282298929229106
0.4736842105263158,0.75,0.3658648632892206,0.4736842105263158,0.75,-0.02354725447895428
-0.28947368421052627,-0.25,-0.21891972249752234,-0.28947368421052627,-0.25,0.18336509430005105
-0.3105263157894737,0.125,-0.26763399988340236,-0.3105263157894737,0.125,0.08111177913777406
0.4736842105263158,-0.25,0.3329843176120796,0.4736842105263158,-0.25,-0.02222472617989181
0.0,0.0,0.16450766629744068,0.0,0.0,2.1166456800287534
-0.3105263157894737,-0.4375,-0.27343391826502655,-0.3105263157894737,-0.4375,-0.02101076363672253
0.4736842105263158,0.0,0.5280207543869878,0.4736842105263158,0.0,-0.005294225535488252
0.0,-0.25,-0.19715186847781732,0.0,-0.25,0.002983913351367311
